@RELATION titanic

@ATTRIBUTE class {0,1}
@ATTRIBUTE Pclass {1,2,3}
@ATTRIBUTE Sex {0,1}
@ATTRIBUTE Age NUMERIC
@ATTRIBUTE SibSp NUMERIC
@ATTRIBUTE Parch NUMERIC
@ATTRIBUTE Fare NUMERIC
@ATTRIBUTE embarked {C,Q,S}
@ATTRIBUTE familysize NUMERIC
@ATTRIBUTE fareperperson NUMERIC

@DATA
?,3,0,34.5,0,0,7.8292,Q,0,7.8292
?,3,1,47,1,0,7,S,1,3.5
?,2,0,62,0,0,9.6875,Q,0,9.6875
?,3,0,27,0,0,8.6625,S,0,8.6625
?,3,1,22,1,1,12.2875,S,2,4.09583333333
?,3,0,14,0,0,9.225,S,0,9.225
?,3,1,30,0,0,7.6292,Q,0,7.6292
?,2,0,26,1,1,29,S,2,9.66666666667
?,3,1,18,0,0,7.2292,C,0,7.2292
?,3,0,21,2,0,24.15,S,2,8.05
?,3,0,?,0,0,7.8958,S,0,7.8958
?,1,0,46,0,0,26,S,0,26.0
?,1,1,23,1,0,82.2667,S,1,41.13335
?,2,0,63,1,0,26,S,1,13.0
?,1,1,47,1,0,61.175,S,1,30.5875
?,2,1,24,1,0,27.7208,C,1,13.8604
?,2,0,35,0,0,12.35,Q,0,12.35
?,3,0,21,0,0,7.225,C,0,7.225
?,3,1,27,1,0,7.925,S,1,3.9625
?,3,1,45,0,0,7.225,C,0,7.225
?,1,0,55,1,0,59.4,C,1,29.7
?,3,0,9,0,1,3.1708,S,1,1.5854
?,1,1,?,0,0,31.6833,S,0,31.6833
?,1,0,21,0,1,61.3792,C,1,30.6896
?,1,1,48,1,3,262.375,C,4,52.475
?,3,0,50,1,0,14.5,S,1,7.25
?,1,1,22,0,1,61.9792,C,1,30.9896
?,3,0,22.5,0,0,7.225,C,0,7.225
?,1,0,41,0,0,30.5,S,0,30.5
?,3,0,?,2,0,21.6792,C,2,7.2264
?,2,0,50,1,0,26,S,1,13.0
?,2,0,24,2,0,31.5,S,2,10.5
?,3,1,33,1,2,20.575,S,3,5.14375
?,3,1,?,1,2,23.45,S,3,5.8625
?,1,0,30,1,0,57.75,C,1,28.875
?,3,0,18.5,0,0,7.2292,C,0,7.2292
?,3,1,?,0,0,8.05,S,0,8.05
?,3,1,21,0,0,8.6625,S,0,8.6625
?,3,0,25,0,0,9.5,S,0,9.5
?,3,0,?,0,0,56.4958,S,0,56.4958
?,3,0,39,0,1,13.4167,C,1,6.70835
?,1,0,?,0,0,26.55,S,0,26.55
?,3,0,41,0,0,7.85,S,0,7.85
?,2,1,30,0,0,13,S,0,13.0
?,1,1,45,1,0,52.5542,S,1,26.2771
?,3,0,25,0,0,7.925,S,0,7.925
?,1,0,45,0,0,29.7,C,0,29.7
?,3,0,?,0,0,7.75,Q,0,7.75
?,1,1,60,0,0,76.2917,C,0,76.2917
?,3,1,36,0,2,15.9,S,2,5.3
?,1,0,24,1,0,60,S,1,30.0
?,2,0,27,0,0,15.0333,C,0,15.0333
?,2,1,20,2,1,23,S,3,5.75
?,1,1,28,3,2,263,S,5,43.8333333333
?,2,0,?,0,0,15.5792,C,0,15.5792
?,3,0,10,4,1,29.125,Q,5,4.85416666667
?,3,0,35,0,0,7.8958,S,0,7.8958
?,3,0,25,0,0,7.65,S,0,7.65
?,3,0,?,1,0,16.1,S,1,8.05
?,1,1,36,0,0,262.375,C,0,262.375
?,3,0,17,0,0,7.8958,S,0,7.8958
?,2,0,32,0,0,13.5,S,0,13.5
?,3,0,18,0,0,7.75,S,0,7.75
?,3,1,22,0,0,7.725,Q,0,7.725
?,1,0,13,2,2,262.375,C,4,52.475
?,2,1,?,0,0,21,S,0,21.0
?,3,1,18,0,0,7.8792,Q,0,7.8792
?,1,0,47,0,0,42.4,S,0,42.4
?,1,0,31,0,0,28.5375,C,0,28.5375
?,1,1,60,1,4,263,S,5,43.8333333333
?,3,1,24,0,0,7.75,Q,0,7.75
?,3,0,21,0,0,7.8958,S,0,7.8958
?,3,1,29,0,0,7.925,S,0,7.925
